Cod_InstitucionEjecutora|Representante|RepresentanteInstitucion|NombreProfesional|CArgoRepresentante|CargoRepresentanteInst|Profesion
105|Dr. Jorge Luis Prosperi|Dr. Jorge Luis Prosperi||Coordinador|Coordinador|
105|Zenaira del Carmen Quintero Molina|Zenaira del Carmen Quintero Molina|Zenaira del Carmen Quintero Molina|Arquitecto|Arquitecto|Arquitecto
107|Ing. Oliver Campero Rivero|Ing. MSc. Oliver Campero Rivero|Oliver Campero Rivero|Gerente|Gerente|Ingeniero MSc
108|Ing. Gonzalo Dalence Ergueta|Ing. Gonzalo Dalence Ergueta|Gonzalo Dalence Ergueta|DIRECTOR NACIONAL DE RELACIONES INTERNACIONALES|DIRECTOR NACIONAL DE RELACIONES INTERNACIONALES, SECRETARIO TÉCNICO - COMITÉS CONSTRUCCIÓN|Ingeniero
109|Jorge Rondón|Jorge Rondón|Jorge Rondón|Ingeniero residente|Ingeniero residente|Ingeniero
110|Ricardo Burgos M.,| Ing. Ricardo Burgos M.,|Ricardo Burgos M.,|Ingeniero||Ingeniero
111|Freddy ROJAS C.|Freddy ROJAS C.|Freddy ROJAS C.|Jefe de departamento técnico|Jefe de departamento técnico|Arquitecto
112|Wolfgang BUCHNER|Wolfgang BUCHNER|Wolfgang BUCHNER|Creador Sistema EMAS - Coordinador de los Cursos|Creador Sistema EMAS - Coordinador de los Cursos|Ingeniero
113|Ing. Gumercindo Benavidez  ||Gumercindo Benavidez  |Director Ejecutivo||Ingeniero
114|Nagib CHARONE Filho|Nagib CHARONE Filho|Nagib CHARONE Filho|Coordenador|Coordenador|Coordenador
115|Sr. CÁRDENAS y/o Sra. Alcira PORRAS|Sr. CÁRDENAS y/o Sra. Alcira PORRAS|Alcira PORRAS|Presidente y Afiliada|Presidente y Afiliada|
117|Salvador ROJAS G.|Salvador ROJAS G.|Salvador ROJAS G.|Director CORPOICA Regional Diez|Director CORPOICA Regional Diez|Director CORPOICA Regional Diez
118|Yolanda FLORES / Cecilia BAYLÓN|Yolanda FLORES / Cecilia BAYLÓN|Roberto CASTRO|Presidenta / Tesorera|Presidenta / Tesorera|Funcionario Alcaldía de Calamar
120|Padre Juan Antonio FONT BINIMELIS|Padre Juan Antonio FONT BINIMELIS|Padre Juan Antonio FONT BINIMELIS|Director CEJAM|Director CEJAM|Sacerdote
121|Paolo LUGARI CASTRILLON|Paolo LUGARI CASTRILLON|Paolo LUGARI CASTRILLON|Presidente|Presidente|Ingeniero
122|Julio Salazar|Julio Salazar|Julio Salazar|Representante|Abogado|Abogado
123|Ing. Juan Carlos TORO|Ing. Juan Carlos TORO|Juan Carlos TORO|Coordinador Regional|Coordinador Regional|Ingeniero
124|Arq. Ruby De Valencia|Arq. Ruby De Valencia|Ruby De Valencia|Presidenta |Presidenta |Arquitecto Paisajista
125|Arq. Enrique VILA (conjuntamente con  Raúl Sánchez, Ricardo Parra y  J. Tulián).|Arq. Enrique VILA (conjuntamente con  Raúl Sánchez, Ricardo Parra y  J. Tulián)|Enrique VILA |Arq. Profesor de la Facultad de Arquitectura y Ur|Arq. Profesor de la Facultad de Arquitectura y Urbanismo de la FAU-UCV|Arquitecto
126|Gabriel PICÓN|Gabriel PICÓN|Gabriel PICÓN|Funcionario de la  CVG|Funcionario de la  CVG|
126|Ing. Veira SUAREZ GARCIA|Ing. Veira SUAREZ GARCIA| Veira SUAREZ GARCIA|Secretaria General de la Presidencia  CVG-PROFORCA|Secretaria General de la Presidencia  CVG-PROFORCA|Ingeniero
126|Lic. Fernando SILVA|Lic. Fernando SILVA|Fernando SILVA|Coordinador de Desarrollo Social de la Oficina de |Coordinador de Desarrollo Social de la Oficina de la Autoridad Unica de Area del sur de Anzoátegui y Monagas |
127|Prof. Gloria BRAVO|Prof. Gloria BRAVO|Gloria BRAVO|Coordinadora|Coordinadora|Profesora
128|Rafael CASTRO|Rafael CASTRO|Rafael CASTRO|Capitán de la Comunidad|Capitán de la Comunidad|Capitán de la Comunidad
129|Arq. Asiria SILVA ESQUIVEL|Arq. Asiria SILVA ESQUIVEL|Asiria SILVA ESQUIVEL|Directora|Directora|Arquitecto
130|Ing. Homero MEDINA;  Asist. Gloria de Jesús Pizarro; Asist. Nolley Mayerling|Ing. Homero MEDINA;  Asist. Gloria de Jesús Pizarro; Asist. Nolley Mayerling| Homero MEDINA|Director de Desarrollo Urbano|Director de Desarrollo Urbano|Ingeniero
131|Arq.  María Gabriela VELASQUEZ ABATTI|Arq María Gabriela VELASQUEZ ABATTI| María Gabriela VELASQUEZ ABATTI|Dirección de Patrimonio Histórico de la Gobernació|Dirección de Patrimonio Histórico de la Gobernación del Estado Bolívar|Arquitercto
132|Ing. Pausolino MARTINEZ|Ing. Pausolino MARTINEZ|Pausolino MARTINEZ|Profesor. Coordinador-Investigador en Tecnología d|Profesor. Coordinador-Investigador en Tecnología de la Madera|Ingeniero
132|Jesús MUÑOZ|Jesús MUÑOZ|Jesús MUÑOZ|Diseñador  e investigador de la UNEG|Diseñador  e investigador de la UNEG|Arquitecto
133|Ing.  Héctor MACHADO|Ing.  Héctor MACHADO| Héctor MACHADO|Coordinación de Planificación de la ALMACARONI|Coordinación de Planificación de la Alcaldía del Municipio Caroní|Ingeniero
134|María Nuria DE CESARIS |María Nuria DE CESARIS|María Nuria DE CESARIS|Urbanista|Urbanista, PLANURBE|Urbanista
135|Javier SANCHEZ|Javier SANCHEZ|Javier SANCHEZ|Coordinador del Proyecto Turístico Sustentable de |Coordinador del Proyecto Turístico Sustentable de la Comunidad Indígena "Coromoto" Edo. Amazonas|
136|Ing. Hernán ESPINOZA| Ing.Hernán ESPINOZA|Hernán ESPINOZA|Gerente de la Fundación de la Vivienda del Caroní |Gerente de la Fundación de la vivienda del Caroní ( FUNVICA |Ingeniero
137|Arq. Rosa MALDONADO|Arq. Rosa MALDONADO|Rosa MALDONADO|Investigadora docente del   INCE - Construcción|Investigadora docente del   INCE - Construcción|Arquitecto
138|José ARAQUE|José ARAQUE|José ARAQUE|Rep. Comisión de Derechos Humanos |Rep. Comisión de Derechos Humanos |Ingeniero
139|José Gerardo VIVENES T.|José Gerardo VIVENES T.|José Gerardo VIVENES T.|Presidente|Presidente|Arquitecto
140|Gisela PEREZ|Gisela PEREZ|Gisela PEREZ|Coordinadora General |Coordinadora General |
141|Arq. Wisto LABRADOR|Arq. Wisto LABRADOR|Wisto LABRADOR|Arq. Jefe del  Departamento de Inspección de Obra |Arq. Jefe del  Departamento de Inspección de Obra de FUNDAVIVIENDA|Arquitecto
142|Arq. Ervigio RIERA C.|Arq. Ervigio RIERA C.|Ervigio RIERA C.|Arquitecto Coordinador |Arquitecto Coordinador |Arquitecto
143|Lic Irma ROMERO DE GARCÍA|Lic Irma ROMERO DE GARCÍA|Irma ROMERO DE GARCÍA|Jefa del Servicio Social de la  Alcaldía  de Sotil|Jefa del Servicio Social de la  Alcaldía  de Sotillo  del Estado Monagas |Abogado
144|José Gilberto BOLIVAR, Tulio SOSA SANCHEZ|José Gilberto BOLIVAR, Tulio SOSA SANCHEZ|José Gilberto BOLIVAR|Maestro Intercultural Bilingue|Maestro Intercultural Bilingue|Maestro Intercultural Bilingue
146|Barry BARTEL|Barry BARTEL|Barry BARTEL|||
146|César Eduardo Flores Ventura|César Eduardo Flores Ventura|Nestor PEREZ|Director|Director|Ingeniero Sanitario
146|Douglas ZEHR|Douglas ZEHR|Douglas ZEHR|Director Técnico|Director Técnico|Ing
146|Néstor PEREZ|Néstor PEREZ|Néstor PEREZ|Asesor Programa de Agua Potable y Saneamiento Ambiental|Asesor Programa de Agua Potable y Saneamiento Ambiental|Técnico en Saneamiento Básico
147|Miriam Suárez|Miriam Suárez|Miriam Suárez|Responsable del Equipo de M.A. Educación Ambiental|Responsable del Equipo de M.A. Educación Ambiental|Socióloga
147|Patricia MIRANDA|Patricia MIRANDA|Patricia MIRANDA|Responsable Capacitación|Responsable Capacitación|
147|Rosario PINOE|Rosario PINOE|Rosario PINOE|Responsable del Equipo de M.A. Educación Ambiental|Responsable del Equipo de M.A. Educación Ambiental|Socióloga
148|Blanca PEREZ MERCADO|Blanca PEREZ MERCADO|Blanca PEREZ MERCADO|Directora|Directora|Socióloga
149|Ing. Walter Solís Valarezo|Ing. Walter Solís Valarezo|Walter Solís Valarezo|Ministro|Ministro|Ingeniero
15||||||
150|Ing. Esteban ECHAVARRIA|Ing. Esteban ECHAVARRIA| Esteban ECHAVARRIA|Gerente General|Gerente General|Ingeniero
152|Dante Luis LELLO|Dante Luis LELLO|Dante Luis LELLO|Técnico en Medio Ambiente|Técnico en Medio Ambiente|Técnico en Medio Ambiente
152|Ing. Raúl VEDIA|Ing. Raul VEDIA|Raul VEDIA|Ingeniero Civil|Ingeniero Civil|Ingeniero Civil
153|Dilson Resende de Almeida |Dilson Resende de Almeida|Roberto Guimarães Carneiro|Presidente |Presidente|Ingeniero
153|Lizabeti de Fátima F Pauperio|Lizabeti de Fátima F Pauperio|Lizabeti de Fátima F Pauperio|Gerência Regional|Gerência Regional|Eng. Agr.
153|Maria José Lopes F. Matos |Maria José Lopes F. Matos |Maria José Lopes F. Matos ||Representante|Ingeniero
153|Mário Augusto Ribas do Nascimento|Mário Augusto Ribas do Nascimento|Águeda Marcéi Mezomo|Diretor Presidente|Diretor Presidente|Geografia, com especialização em gestão ambiental e desenvolvimento
153|ROBÉRIO HAMILTON DE C. BEZERRA|ROBÉRIO HAMILTON DE C. BEZERRA|GERALDO FIRMINO DA SILVA|Presidente|Presidente|
154|Dr. Irineu Cabral|Dr. Irineu Cabral|Irineu Cabral,|Gerente|Gerente|Economista
155|Francisco Sergio BELISH DE SOUSA SEÃO||Francisco Sergio BELISH DE SOUSA SEÃO||Secretário de Estado|Engenheiro
156|Milton MONTES|Milton MONTES|Milton MONTES|Professor / Engenheiro |Professor / Engenheiro |Professor / Engenheiro
157|José Homobono PAES DE ANDRADE|José Homobono PAES DE ANDRADE|José Homobono PAES DE ANDRADE|Presidente|Presidente|
158|Dra. Nazaré IMBIRIBA|Dra. Nazaré IMBIRIBA|Nazaré IMBIRIBA|Coordenadora de Cooperaçao|Coordenadora de Cooperaçao|Engenheiro Sanitário
160|Rodrigo VILLABON / Roberto CASTRO B.|Rodrigo VILLABON / Roberto CASTRO B.|Rodrigo VILLABON / Roberto CASTRO B.|Gerente / Socio Fundador|Gerente / Socio Fundador|Agrónomos
164|Geog. Camilo DOMINGUEZ|Geog. Camilo DOMINGUEZ|Camilo DOMINGUEZ|Investigador|Investigador|Geógrafo
168|Virginia Soto|Virginia Soto|Virginia Soto|Contacto|Contacto|Psicóloga
169|Miguel Angel VARGAS|Miguel Angel VARGAS|Miguel Angel VARGAS|||Ingeniero
171|Lic. Carmen MIRANDA|Lic. Carmen MIRANDA|Lic. Carmen MIRANDA|Directora|Directora Ejecutiva|
172|Ing. Carlos GARCIA-AGREDA DABDOUB|Ing. Carlos GARCIA-AGREDA DABDOUB|Carlos GARCIA-AGREDA DABDOUB|Jefe División de Electrificación Rural|Jefe División de Electrificación Rural|Ingeniero
172|Ing. Eduardo ELDER|Ing. Eduardo ELDER| Eduardo ELDER|Asesor Técnico de CRE|Asesor Técnico de CRE|Ingeniero
173| Andrés Trepp del Carpio| Andrés Trepp del Carpio| Erika Corico Pastén|Director|Director|Secretaria
174|Enrique BIRHUETT / Miguel FERNANDEZ|Enrique BIRHUETT / Miguel FERNANDEZ|Enrique BIRHUETT / Miguel FERNANDEZ|Coordinadores|Coordinadores|Ingenieros
175|Adolfo Weimar ARANCIBIA VALVERDE|Adolfo Weimar ARANCIBIA VALVERDE|Adolfo Weimar ARANCIBIA VALVERDE|Ingeniero Agrónomo|Ingeniero Agrónomo|Ingeniero
175|Ing. Abraham MONTAÑO SUAREZ|Ing. Abraham MONTAÑO SUAREZ|Abraham MONTAÑO SUAREZ|Investigador|Investigador|Ingeniero
175|Ing. Carlos ALARCON Z., Ing. Abraham MONTAÑO SUAREZ.|Ing. Carlos ALARCON Z., Ing. Abraham MONTAÑO SUAREZ.|Abraham MONTAÑO SUAREZ.|Ingenieros|Ingenieros|Ingeniero
176|Daniel CALLAU|Daniel CALLAU|Daniel CALLAU|Gerente Propietario|Gerente Propietario|Ingeniero
176|Emílio José MONTERO ARRUDA FILHO|Emílio José MONTERO ARRUDA FILHO|Emílio José MONTERO ARRUDA FILHO|Coordenador Técnico    |Coordenador Técnico    |Ingeniero
177|Víctor Hugo Jiménez|Víctor Hugo Jiménez|Víctor Hugo Jiménez|Gerente propietario|Gerente propietario|Ingeniero
178|Eduardo Lozada W|Eduardo Lozada W|Eduardo Lozada W|Gerente general|Gerente general|Ingeniero
183|Humberto Evaristo YOSUINE;  Rubén Darío CARIANIL|Humberto Evaristo YOSUINE  / Rubén Darío CARIANIL|Humberto Evaristo YOSUINE  |Presidente; Capitán Mayor AIKURIGUA|Presidente / Capitán Mayor AIKURIGUA|Militar
184|Marco Encalada|Marco Encalada|Marco Encalada|Director|Director|
187|Fabiola Tábora Merlo|Fabiola Tábora Merlo|Fabiola Tábora Merlo|Secretaria Ejecutiva|Secretaria Ejecutiva|Consultora de ambiente
199|Sr. Juan Carlos SCHULZE M.|Sr. Juan Carlos SCHULZE M.|Sr. Juan Carlos SCHULZE M.|Director Regional|Director Regional|Ingeniero. Director Regional del Programa
2|Sra. Alicia Bárcena Ibarra |Sra. Alicia Bárcena Ibarra |Sra. Alicia Bárcena Ibarra |Secretaria Ejecutiva|Secretaria Ejecutiva|Lic en Biología c/maestría en Ecología
205| Arqto. Lenkiza Angulo Villarreal.| Arqto. Lenkiza Angulo Villarreal.| Lenkiza Angulo Villarreal.|ARQUITECTA|Representante|Arquitecto
213|Claudia Lema Dodobara ||Claudia Lema Dodobara |||Médico
218|Ivonne Ramos y Nathalia Bonilla|Sr.   Andreu Felip i Ventura|Ricardo Carrere||Director|
220||Tony Destefano|Alexandra Almeida|||Periodista
246|Ing. JOSE M. RETO TIMANA|Ing. JOSE M. RETO TIMANA| JOSE M. RETO TIMANA|Representante|Representante|Ingeniero
248|||Individuo de la comunidad  ACHUAR|||
248|Ángel Medina Lozano|Ángel Medina Lozano|Ángel Medina Lozano|Ejecutivo Nacional|Ejecutivo Nacional|
248|Juan Vargas|Juan Vargas|Individuo de la comunidad Shuar|Representante|Representante|
25|Ing. Edwin Pajares Vigo|Ing. Edwin Pajares Vigo|Ing. Edwin Pajares Vigo|DIRECTOR DE AREA|DIRECTOR DE AREA|INGENIERO
250| William Lacy Swing | William Lacy Swing | William Lacy Swing |Director General|Director General|
251|Domingo Peas|Domingo Peas|Domingo Peas|Coordinador región amazónica|Coordinador región amazónica|Ingeniero
254|Lic.  Servio Quezada Romero|Lic. | Servio Quezada Romero|Alcalde|Alcalde|
256|Prof. José Bolívar Jaramillo|Prof. José Bolívar Jaramillo|José Bolívar Jaramillo|Alcalde|Alcalde|Profesor
258|Dra. Luz Marina MANTILLA CARDENAS|Dra. Luz Marina MANTILLA CARDENAS|Adriana RODRIGUEZ|Directora General|Directora General|Socióloga
26|PEDRO ERNESTO LÓPEZ AFRICANO |PEDRO ERNESTO LÓPEZ AFRICANO |PEDRO ERNESTO LÓPEZ AFRICANO |Ingeniero Geólogo|ING. GEÓLOGO|Ingeniero Geólogo
27|Geroncio Albuquerque Rocha|Geroncio Albuquerque Rocha|Geroncio Albuquerque Rocha|Geólogo-Asistente del Comité de la Cuenca Hidrográfica do Alto Tietê|Geólogo-Asistente del Comité de la Cuenca Hidrográfica do Alto Tietê|Geólogo
28|Minera Yanacocha S.r.l.|LUIS CAMPOS|LUIS CAMPOS||GERENTE DE MEDIO AMBIENTE|Ingeniero
29|María Inés Hernández de Padrón|María Inés Hernández de Padrón|María Inés Hernández de Padrón|Socióloga|Socióloga. Doctora en sociología en la Universidad de París III. Francia. Profesora titular de la Facultad de Ciencias Económicas|Sociologa
3| Luis Acosta|Luis Acosta| Luis Acosta|Ing. Agrícola|DIRECTOR|INGENIERO AGRICOLA
3| Roberto Manrique Arce| Roberto Manrique Arce| Roberto Manrique Arce|BIOLOGO||Ingeniero
3|Dr. Mauricio Pardón|Dr. Mauricio Pardón|Dr. Mauricio Pardón|DIRECTOR|DIRECTOR|Médico
3|Julio Moscoso Cavallini|Mauricio Pardón|Julio Moscoso Cavallini|Ingeniero|Director|INGENIERO
3|Lic. Olga del Carpio|Lic. Olga del Carpio|Lic. Olga del Carpio||DIRECTOR|
3|RAFAEL AMADOR RODEZNO|RAFAEL AMADOR RODEZNO|RAFAEL AMADOR RODEZNO|CONSULTOR EXTERNO|CONSULTOR EXTERNO|CONSULTOR EXTERNO
30|Guido Briceño Méndez|Guido Briceño Méndez|Guido Briceño Méndez|Ingeniero|Despacho del Gobernador|Ingeniero
303|Mr. William Andries|Mr. William Andries|Mr. William Andries|CHAIRMAN|CHAIRMAN|CHAIRMAN
307|Dr. Glenn Sankatsing|Dr. Glenn Sankatsing||Director|Director|
310|William Chapalbay|William Chapalbay|William Chapalbay|Ingeniero|Ingeniero|Ingeniero
311|Mario Brito|Mario Brito|Mario Brito|Director Ejecutivo|Director Ejecutivo|Ingeniero
312||||||
313|Renato Oña Pólit|Ing.  Alecksey Mosquera| Alecksey Mosquera|Resp. del programa|Ministro|Ingeniero
314|Adolfo Brinkmann|Adolfo Brinkmann|Patricia Peñaherrera|Presidente|Presidente|Técnica
316|Hugo Reibán |Hugo Reibán |Hugo Reibán |Tecnico|Tecnico|Tecnico
34|Isaac Zilberman |Ing. Isaac Zilberman | Isaac Zilberman |Director Ejecutivo|Director Ejecutivo|Ingeniero
4|Ms. Claudia Valle|Ms. Claudia Valle|Ms. Claudia Valle|National Coordinator of the ASPnet|National Coordinator of the ASPnet|National Coordinator of the ASPnet
40|Ing. Angie Garrido|Ing. Angie Garrido|Angie Garrido|Especialista en Hidrocarburos|Especialista en Hidrocarburos|Ingeniero
41|Carl R. Bartone|Janet McKinley |Janet McKinley |Representante|Presidente|
56|Dr. Carlos A. LINGER|Dr. Carlos A. LINGER|Dr. Carlos A. LINGER|Representante en Bolivia|Representante en Bolivia|Médico
57|Ing. Juan Manuel BERNAL|Ing. Juan Manuel BERNAL|Ing. Juan Manuel BERNAL|Coordinador Oficina de Planeación y Agua Potable|Coordinador Oficina de Planeación y Agua Potable|Ingeniero
73|Prof. María Esculpi|Prof. María Esculpi| Nelson Hernández|Decana|Decana|Ingeniero
84|Jane Yeomans|Jane Yeomans|Raúl Botero |Coordinadora|Coordinadora|Investigador
87|Arq. Guillermo CORTES MORENO || Guillermo CORTES MORENO |Coordinador del Proyecto|Coordinador del Proyecto|Arquitecto
9|Alfonso Carrasco|Alfonso Carrasco|Alfonso Carrasco|DIRECTOR Soluciones Prácticas - ITDG|DIRECTOR Soluciones Prácticas - ITDG|Ingeniero
9|JAVIER COELLO|JAVIER COELLO|JAVIER COELLO|||Ingeniero
9|Oscar Castillo|Oscar Castillo|OSCAR CASTILLO Y NATHALIE VESCO|Representante||Cooperantes
